"Duke",1,"East",""
"Alabama",2,"East",""
"Wisconsin",3,"East",""
"Arizona",4,"East",""
"Oregon",5,"East",""
"BYU",6,"East",""
"Saint Mary's",7,"East",""
"Mississippi St.",8,"East",""
"Baylor",9,"East",""
"Vanderbilt",10,"East",""
"VCU",11,"East",""
"Liberty",12,"East",""
"Akron",13,"East",""
"Montana",14,"East",""
"Robert Morris",15,"East",""
"American/Mount St. Mary's",16,"East",""
"Houston",1,"Midwest",""
"Tennessee",2,"Midwest",""
"Kentucky",3,"Midwest",""
"Purdue",4,"Midwest",""
"Clemson",5,"Midwest",""
"Illinois",6,"Midwest",""
"UCLA",7,"Midwest",""
"Gonzaga",8,"Midwest",""
"Georgia",9,"Midwest",""
"Utah St.",10,"Midwest",""
"Texas/Xavier",11,"Midwest",""
"McNeese",12,"Midwest",""
"High Point",13,"Midwest",""
"Troy",14,"Midwest",""
"Wofford",15,"Midwest",""
"SIU Edwardsville",16,"Midwest",""
"Auburn",1,"South",""
"Michigan St.",2,"South",""
"Iowa St.",3,"South",""
"Texas A&M",4,"South",""
"Michigan",5,"South",""
"Ole Miss",6,"South",""
"Marquette",7,"South",""
"Louisville",8,"South",""
"Creighton",9,"South",""
"New Mexico",10,"South",""
"San Diego St./North Carolina",11,"South",""
"UC San Diego",12,"South",""
"Yale",13,"South",""
"Lipscomb",14,"South",""
"Bryant",15,"South",""
"Alabama St./Saint Francis U",16,"South",""
"Florida",1,"West",""
"Saint John's",2,"West",""
"Texas Tech",3,"West",""
"Maryland",4,"West",""
"Memphis",5,"West",""
"Missouri",6,"West",""
"Kansas",7,"West",""
"UConn",8,"West",""
"Oklahoma",9,"West",""
"Arkansas",10,"West",""
"Drake",11,"West",""
"Colorado St.",12,"West",""
"Grand Canyon",13,"West",""
"UNC Wilmington",14,"West",""
"Omaha",15,"West",""
"Norfolk St.",16,"West",""
